,norm,GO name,Cancer Related
GO:0045859,4.848443361,regulation of protein kinase activity,FALSE
GO:1990000,4.834465948,amyloid fibril formation,TRUE
GO:0090023,4.830316063,positive regulation of neutrophil chemotaxis,FALSE
GO:1903799,4.825935217,negative regulation of production of mirnas involved in gene silencing by mirna,TRUE
GO:0006096,4.818406013,glycolytic process,FALSE
GO:1901990,4.799733273,regulation of mitotic cell cycle phase transition,TRUE
GO:1900026,4.790739344,positive regulation of substrate adhesion dependent cell spreading,TRUE
GO:0006970,4.78459005,response to osmotic stress,FALSE
GO:0002230,4.762864396,positive regulation of defense response to virus by host,FALSE
GO:0032930,4.751268876,positive regulation of superoxide anion generation,FALSE
GO:0007275,4.749833108,multicellular organism development,FALSE
GO:1990120,4.739590497,messenger ribonucleoprotein complex assembly,FALSE
GO:0097340,4.729889736,inhibition of cysteine type endopeptidase activity,FALSE
GO:0031297,4.725716103,replication fork processing,FALSE
GO:0043117,4.720674252,positive regulation of vascular permeability,FALSE
GO:0030174,4.720006809,regulation of dna dependent dna replication initiation,FALSE
GO:1905618,4.715177338,positive regulation of mirna mediated inhibition of translation,FALSE
GO:1903608,4.702052206,protein localization to cytoplasmic stress granule,FALSE
GO:0030032,4.697523027,lamellipodium assembly,FALSE
GO:1903146,4.696771335,regulation of autophagy of mitochondrion,FALSE
GO:1901537,4.695028838,positive regulation of dna demethylation,FALSE
GO:0042026,4.694547977,protein refolding,FALSE
GO:0097428,4.694240069,protein maturation by iron sulfur cluster transfer,FALSE
GO:0044344,4.672091908,cellular response to fibroblast growth factor stimulus,FALSE
GO:0038061,4.666074325,nik/nf kappab signaling,FALSE
GO:0031053,4.664137496,primary mirna processing,TRUE
GO:0006446,4.635191193,regulation of translational initiation,FALSE
GO:0070934,4.629748757,crd mediated mrna stabilization,FALSE
GO:0030193,4.619588322,regulation of blood coagulation,FALSE
GO:2000378,4.605947495,negative regulation of reactive oxygen species metabolic process,FALSE
GO:0001516,4.593600213,prostaglandin biosynthetic process,FALSE
GO:0006413,4.586004179,translational initiation,FALSE
GO:0007569,4.584565706,cell aging,TRUE
GO:1990869,4.579670302,cellular response to chemokine,FALSE
GO:0019885,4.576481169,antigen processing and presentation of endogenous peptide antigen via mhc class i,FALSE
GO:0043552,4.575712274,positive regulation of phosphatidylinositol 3 kinase activity,TRUE
GO:1904706,4.571620868,negative regulation of vascular associated smooth muscle cell proliferation,TRUE
GO:0030154,4.564890081,cell differentiation,FALSE
GO:0034501,4.564588466,protein localization to kinetochore,FALSE
GO:0051496,4.559347433,positive regulation of stress fiber assembly,TRUE
GO:0007254,4.556362081,JNK cascade,FALSE
GO:0060337,4.547501515,type i interferon signaling pathway,TRUE
GO:2000774,4.544609806,positive regulation of cellular senescence,FALSE
GO:0010811,4.544345179,positive regulation of cell substrate adhesion,FALSE
GO:0000165,4.540656919,MAPK cascade,TRUE
GO:0070102,4.537837255,interleukin 6 mediated signaling pathway,TRUE
GO:0043967,4.533080296,histone h4 acetylation,TRUE
GO:0045786,4.532704749,negative regulation of cell cycle,TRUE
GO:0032481,4.517151016,positive regulation of type i interferon production,FALSE
GO:0006303,4.516045479,double strand break repair via nonhomologous end joining,FALSE
